t, dl, vl, al,df, vf, af,df, vf, af,df, vf, af,df, vf, af,x0, x1, x2, u,x0, x1, x2, u,x0, x1, x2, u,x0, x1, x2, u,J_1, J_2, J_3, J_4, J, F
0, 0.166667, 16.6667,0, -9.83333, 16.6667, 3e-08, -19.8333, 16.6667, 3e-08, -29.8333, 16.6667, 3e-08, -39.8333, 16.6667, 3e-08, 10, 16.6667, 3e-08, 4.902e-07, 10, 16.6667, 3e-08, 4.91083e-07, 10, 16.6667, 3e-08, 4.91459e-07, 10, 16.6667, 3e-08, 4.91643e-07, 7.88861e-30, 0, 4.5e-16, 4.82352e-13, 4.82802e-13,0.0247396
0.01, 0.333333, 16.6667,0, -9.66667, 16.6667, 4.3706e-08, -19.6667, 16.6667, 4.37325e-08, -29.6667, 16.6667, 4.37438e-08, -39.6667, 16.6667, 4.37493e-08, 10, 16.6667, 4.3706e-08, 1.86435e-07, 10, 16.6667, 4.37325e-08, 2.49271e-07, 10, 16.6667, 4.37438e-08, 2.23577e-07, 10, 16.6667, 4.37493e-08, 1.74044e-07, 1.12389e-24, 4.49995e-20, 9.55107e-16, 8.85862e-14, 8.95413e-14,0.0103247
0.02, 0.5, 16.6667,0, -9.5, 16.6667, 4.78422e-08, -19.5, 16.6667, 4.97529e-08, -29.5, 16.6667, 4.8993e-08, -39.5, 16.6667, 4.75123e-08, 10, 16.6667, 4.78422e-08, 7.65166e-08, 10, 16.6667, 4.97529e-08, 1.25678e-07, 10, 16.6667, 4.8993e-08, 7.80088e-08, 10, 16.6667, 4.75123e-08, 7.90211e-08, 2.23409e-23, 2.71626e-19, 1.14765e-15, 1.69898e-14, 1.81377e-14,0.00529492
0.03, 0.666667, 16.6667,0, -9.33333, 16.6667, 4.85429e-08, -19.3333, 16.6667, 5.18648e-08, -29.3333, 16.6667, 4.97001e-08, -39.3333, 16.6667, 4.82992e-08, 10, 16.6667, 4.85429e-08, 1.74464e-08, 10, 16.6667, 5.18648e-08, 7.56004e-08, 10, 16.6667, 4.97001e-08, -1.27802e-08, 10, 16.6667, 4.82992e-08, 2.24583e-08, 1.35266e-22, 7.39019e-19, 1.18705e-15, 3.34375e-15, 4.53154e-15,0.0059446
0.04, 0.833333, 16.6667,0, -9.16667, 16.6667, 4.74482e-08, -19.1667, 16.6667, 5.2404e-08, -29.1667, 16.6667, 4.76601e-08, -39.1667, 16.6667, 4.7363e-08, 10, 16.6667, 4.74482e-08, -3.11412e-08, 10, 16.6667, 5.2404e-08, -1.05673e-08, 10, 16.6667, 4.76601e-08, -1.02326e-08, 10, 16.6667, 4.7363e-08, -4.51207e-08, 4.81531e-22, 1.44876e-18, 1.14924e-15, 1.61101e-15, 2.7617e-15,0.00177179
0.05, 1, 16.6667,0, -9, 16.6667, 4.49324e-08, -19, 16.6667, 5.03402e-08, -29, 16.6667, 4.57644e-08, -39, 16.6667, 4.44306e-08, 10, 16.6667, 4.49324e-08, -5.60049e-08, 10, 16.6667, 5.03402e-08, 3.05555e-09, 10, 16.6667, 4.57644e-08, -1.43647e-08, 10, 16.6667, 4.44306e-08, -3.08657e-08, 1.27178e-21, 2.37481e-18, 1.03544e-15, 2.15246e-15, 3.19028e-15,0.00403841
0.06, 1.16667, 16.6667,0, -8.83333, 16.6667, 4.17545e-08, -18.8333, 16.6667, 4.87538e-08, -28.8333, 16.6667, 4.3808e-08, -38.8333, 16.6667, 4.20236e-08, 10, 16.6667, 4.17545e-08, -3.80893e-08, 10, 16.6667, 4.87538e-08, 7.2143e-09, 10, 16.6667, 4.3808e-08, -1.74084e-08, 10, 16.6667, 4.20236e-08, -2.50199e-08, 2.77348e-21, 3.46526e-18, 9.10037e-16, 1.21595e-15, 2.12945e-15,0.00298075
0.07, 1.33333, 16.6667,0, -8.66667, 16.6667, 3.922e-08, -18.6667, 16.6667, 4.73451e-08, -28.6667, 16.6667, 4.18255e-08, -38.6667, 16.6667, 3.98722e-08, 10, 16.6667, 3.922e-08, -1.55223e-08, 10, 16.6667, 4.73451e-08, -1.88605e-08, 10, 16.6667, 4.18255e-08, -2.17617e-08, 10, 16.6667, 3.98722e-08, -3.0775e-08, 5.29421e-21, 4.66998e-18, 8.19254e-16, 1.00866e-15, 1.83259e-15,0.000735208
0.08, 1.5, 16.6667,0, -8.5, 16.6667, 3.7447e-08, -18.5, 16.6667, 4.52011e-08, -28.5, 16.6667, 3.97784e-08, -38.5, 16.6667, 3.76199e-08, 10, 16.6667, 3.7447e-08, -2.53896e-08, 10, 16.6667, 4.52011e-08, -3.97048e-08, 10, 16.6667, 3.97784e-08, -2.079e-08, 10, 16.6667, 3.76199e-08, -2.37064e-08, 9.17105e-21, 5.97418e-18, 7.48235e-16, 1.60766e-15, 2.36188e-15,0.000681416
0.09, 1.66667, 16.6667,0, -8.33333, 16.6667, 3.54371e-08, -18.3333, 16.6667, 4.25033e-08, -28.3333, 16.6667, 3.78288e-08, -38.3333, 16.6667, 3.56547e-08, 10, 16.6667, 3.54371e-08, -2.92032e-08, 10, 16.6667, 4.25033e-08, -2.92424e-08, 10, 16.6667, 3.78288e-08, -1.65332e-08, 10, 16.6667, 3.56547e-08, -9.34434e-09, 1.47702e-20, 7.37303e-18, 6.66148e-16, 1.0343e-15, 1.70784e-15,0.000322636
