t, dl, vl, al,df, vf, af,df, vf, af,df, vf, af,x0, x1, x2, u,x0, x1, x2, u,x0, x1, x2, u,J_1, J_2, J_3, J_4, J, F
0, 0.166667, 16.6667,0, -9.83333, 16.6667, 3e-08, -19.8333, 16.6667, 3e-08, -29.8333, 16.6667, 3e-08, 10, 16.6667, 3e-08, 4.90079e-07, 10, 16.6667, 3e-08, 4.90798e-07, 10, 16.6667, 3e-08, 4.91034e-07, 1.57772e-30, 0, 4.5e-16, 3.61087e-13, 3.61537e-13,0.0247355
0.01, 0.333333, 16.6667,0, -9.66667, 16.6667, 4.37024e-08, -19.6667, 16.6667, 4.37239e-08, -29.6667, 16.6667, 4.3731e-08, 10, 16.6667, 4.37024e-08, 2.60297e-07, 10, 16.6667, 4.37239e-08, 2.28845e-07, 10, 16.6667, 4.3731e-08, 2.25324e-07, 1.12387e-24, 4.49995e-20, 9.54948e-16, 8.54479e-14, 8.64029e-14,0.0145681
0.02, 0.5, 16.6667,0, -9.5, 16.6667, 5.00545e-08, -19.5, 16.6667, 4.91318e-08, -29.5, 16.6667, 4.9033e-08, 10, 16.6667, 5.00545e-08, 1.59652e-07, 10, 16.6667, 4.91318e-08, 1.00752e-07, 10, 16.6667, 4.9033e-08, 4.3077e-08, 2.23408e-23, 2.716e-19, 1.25316e-15, 1.87477e-14, 2.00012e-14,0.00936467
0.03, 0.666667, 16.6667,0, -9.33333, 16.6667, 5.31756e-08, -19.3333, 16.6667, 5.05167e-08, -29.3333, 16.6667, 4.86909e-08, 10, 16.6667, 5.31756e-08, 3.08765e-08, 10, 16.6667, 5.05167e-08, -4.15691e-09, 10, 16.6667, 4.86909e-08, -2.77833e-08, 1.37075e-22, 7.65826e-19, 1.41902e-15, 8.71274e-16, 2.29106e-15,0.00499259
0.04, 0.833333, 16.6667,0, -9.16667, 16.6667, 5.23294e-08, -19.1667, 16.6667, 4.87081e-08, -29.1667, 16.6667, 4.62344e-08, 10, 16.6667, 5.23294e-08, 5.157e-08, 10, 16.6667, 4.87081e-08, -4.91096e-09, 10, 16.6667, 4.62344e-08, 8.41e-11, 4.99027e-22, 1.56607e-18, 1.3788e-15, 1.34179e-15, 2.72216e-15,0.00493455
0.05, 1, 16.6667,0, -9, 16.6667, 5.21322e-08, -19, 16.6667, 4.69372e-08, -29, 16.6667, 4.46958e-08, 10, 16.6667, 5.21322e-08, 1.69315e-08, 10, 16.6667, 4.69372e-08, -2.16286e-08, 10, 16.6667, 4.46958e-08, -1.24959e-09, 1.3473e-21, 2.63159e-18, 1.37489e-15, 3.78018e-16, 1.75554e-15,0.00332278
0.06, 1.16667, 16.6667,0, -8.83333, 16.6667, 5.09024e-08, -18.8333, 16.6667, 4.47237e-08, -28.8333, 16.6667, 4.31684e-08, 10, 16.6667, 5.09024e-08, -1.38473e-08, 10, 16.6667, 4.47237e-08, -1.31521e-08, 10, 16.6667, 4.31684e-08, -1.0312e-08, 3.00014e-21, 3.96898e-18, 1.31582e-15, 2.35532e-16, 1.55533e-15,0.00110974
0.07, 1.33333, 16.6667,0, -8.66667, 16.6667, 4.87902e-08, -18.6667, 16.6667, 4.28384e-08, -28.6667, 16.6667, 4.14201e-08, 10, 16.6667, 4.87902e-08, -3.79553e-08, 10, 16.6667, 4.28384e-08, -1.35656e-08, 10, 16.6667, 4.14201e-08, -1.4369e-08, 5.85175e-21, 5.5416e-18, 1.20896e-15, 9.15549e-16, 2.13006e-15,0.000357931
0.08, 1.5, 16.6667,0, -8.5, 16.6667, 4.60252e-08, -18.5, 16.6667, 4.10035e-08, -28.5, 16.6667, 3.96084e-08, 10, 16.6667, 4.60252e-08, -3.57281e-08, 10, 16.6667, 4.10035e-08, -1.96572e-08, 10, 16.6667, 3.96084e-08, -1.6997e-08, 1.03558e-20, 7.29599e-18, 1.07274e-15, 9.75901e-16, 2.05595e-15,0.00040578
0.09, 1.66667, 16.6667,0, -8.33333, 16.6667, 4.34192e-08, -18.3333, 16.6667, 3.9047e-08, -28.3333, 16.6667, 3.77782e-08, 10, 16.6667, 4.34192e-08, -2.89652e-08, 10, 16.6667, 3.9047e-08, -2.85641e-08, 10, 16.6667, 3.77782e-08, -2.48771e-08, 1.70041e-20, 9.17084e-18, 9.52977e-16, 1.13688e-15, 2.09905e-15,0.000722295
0.1, 1.83333, 16.6667,0, -8.16667, 16.6667, 4.11029e-08, -18.1667, 16.6667, 3.68885e-08, -28.1667, 16.6667, 3.57726e-08, 10, 16.6667, 4.11029e-08, -3.37549e-08, 10, 16.6667, 3.68885e-08, -2.79267e-08, 10, 16.6667, 3.57726e-08, -2.51905e-08, 2.63145e-20, 1.11349e-17, 8.54229e-16, 1.27693e-15, 2.14232e-15,0.000337376
0.11, 2, 16.6667,0, -8, 16.6667, 3.87202e-08, -18, 16.6667, 3.48211e-08, -28, 16.6667, 3.38245e-08, 10, 16.6667, 3.87202e-08, -3.51672e-08, 10, 16.6667, 3.48211e-08, -3.75632e-08, 10, 16.6667, 3.38245e-08, -3.06372e-08, 3.88246e-20, 1.317e-17, 7.57725e-16, 1.79318e-15, 2.56411e-15,0.000534763
0.12, 2.16667, 16.6667,0, -7.83333, 16.6667, 3.63745e-08, -17.8333, 16.6667, 3.25335e-08, -27.8333, 16.6667, 3.17779e-08, 10, 16.6667, 3.63745e-08, -3.83737e-08, 10, 16.6667, 3.25335e-08, -3.46619e-08, 10, 16.6667, 3.17779e-08, -2.97599e-08, 5.50832e-20, 1.5243e-17, 6.69214e-16, 1.77982e-15, 2.46433e-15,0.000228343
0.13, 2.33333, 16.6667,0, -7.66667, 16.6667, 3.40108e-08, -17.6667, 16.6667, 3.04092e-08, -27.6667, 16.6667, 2.98258e-08, 10, 16.6667, 3.40108e-08, -3.26388e-08, 10, 16.6667, 3.04092e-08, -2.61632e-08, 10, 16.6667, 2.98258e-08, -2.52855e-08, 7.56394e-20, 1.73291e-17, 5.85023e-16, 1.19458e-15, 1.79701e-15,0.000283165
0.14, 2.5, 16.6667,0, -7.5, 16.6667, 3.18979e-08, -17.5, 16.6667, 2.86106e-08, -27.5, 16.6667, 2.8073e-08, 10, 16.6667, 3.18979e-08, -3.64689e-08, 10, 16.6667, 2.86106e-08, -1.60608e-08, 10, 16.6667, 2.8073e-08, -2.40913e-08, 1.01034e-19, 1.94005e-17, 5.14287e-16, 1.08416e-15, 1.61795e-15,0.000527316
0.15, 2.66667, 16.6667,0, -7.33333, 16.6667, 2.97406e-08, -17.3333, 16.6667, 2.71751e-08, -27.3333, 16.6667, 2.64145e-08, 10, 16.6667, 2.97406e-08, -4.02094e-08, 10, 16.6667, 2.71751e-08, -2.6668e-08, 10, 16.6667, 2.64145e-08, 8.36142e-10, 1.31791e-19, 2.1449e-17, 4.45832e-16, 1.16434e-15, 1.63175e-15,0.000861762
0.16, 2.83333, 16.6667,0, -7.16667, 16.6667, 2.7543e-08, -17.1667, 16.6667, 2.54692e-08, -27.1667, 16.6667, 2.55591e-08, 10, 16.6667, 2.7543e-08, -2.46382e-08, 10, 16.6667, 2.54692e-08, -2.32714e-08, 10, 16.6667, 2.55591e-08, -1.12671e-08, 1.68423e-19, 2.34494e-17, 3.81462e-16, 6.37774e-16, 1.04285e-15,0.000661235
0.17, 3, 16.6667,0, -7, 16.6667, 2.58857e-08, -17, 16.6667, 2.39221e-08, -27, 16.6667, 2.43692e-08, 10, 16.6667, 2.58857e-08, -4.21479e-08, 10, 16.6667, 2.39221e-08, -1.90943e-08, 10, 16.6667, 2.43692e-08, -2.60114e-08, 2.11407e-19, 2.53783e-17, 3.37063e-16, 1.40881e-15, 1.77147e-15,0.0012707
0.18, 3.16667, 16.6667,0, -6.83333, 16.6667, 2.37584e-08, -16.8333, 16.6667, 2.25519e-08, -26.8333, 16.6667, 2.27765e-08, 10, 16.6667, 2.37584e-08, -2.29105e-08, 10, 16.6667, 2.25519e-08, -2.85047e-08, 10, 16.6667, 2.27765e-08, -3.15243e-08, 2.61203e-19, 2.72602e-17, 2.82985e-16, 1.1656e-15, 1.4761e-15,0.000340157
